time|deviceName|process|description|processName|timeWindow|numberOfOccurrence|processId
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.AddressBookLegacy+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.MessageTracer+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:30:00|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-|+ACI- Configuration Notice:ASL Module +ACIAIg-com.apple.clouddocs+ACIAIg- claims selected messages.Those messages may not appear in standard system log files or in the ASL database.+ACI-||||
00:31:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12622+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:31:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12622+AF0-| Service exited with abnormal code: 78||||
00:35:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12633+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:35:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12633+AF0-| Service exited with abnormal code: 78||||
00:37:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12636+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:37:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12636+AF0-| Service exited with abnormal code: 78||||
00:38:49|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
00:39:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12637+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:39:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12637+AF0-| Service exited with abnormal code: 78||||
00:41:23|BBAOMACBOOKAIR2|(com.getdropbox.dropbox.garcon.D76DE9B6+AC0-65F5+AC0-4137+AC0-A769+AC0-B939851480C9+AFs-12642+AF0-| Caller wanted oneshot behavior for pre+AC0-existing instance: caller +AD0- Preview||||
00:41:23|BBAOMACBOOKAIR2|Preview+AFs-12641+AF0-| assertion failed: 19E287: libxpc.dylib  92807 +AFs-32B0E31E+AC0-9DA3+AC0-328B+AC0-A962+AC0-BC9591B93537+AF0- 0x89||||
00:42:40|BBAOMACBOOKAIR2|xpcproxy+AFs-12662+AF0-| libcoreservices: +AF8-dirhelper+AF8-userdir: 557: bootstrap+AF8-look+AF8-up returned (ipc/send) invalid destination port||||
00:42:45|BBAOMACBOOKAIR2|xpcproxy+AFs-12666+AF0-| libcoreservices: +AF8-dirhelper+AF8-userdir: 557: bootstrap+AF8-look+AF8-up returned (ipc/send) invalid destination port||||
00:43:12|BBAOMACBOOKAIR2|timed+AFs-158+AF0-| settimeofday(+AHs-0x5ebad220,0x7de24+AH0-) +AD0APQ- 0||||
00:43:15|BBAOMACBOOKAIR2|remindd+AFs-12680+AF0-| objc+AFs-12680+AF0- Class REMCDChangeTrackingState is implemented in both /System/Library/PrivateFrameworks/ReminderKit.framework/Versions/A/ReminderKit and /usr/libexec/remindd. One of the two will be used. Which one is undefined.||||
00:43:21|BBAOMACBOOKAIR2|remindd+AFs-12680+AF0-| objc+AFs-12680+AF0- Class REMDAAccountInfo is implemented in both /System/Library/PrivateFrameworks/CDDataAccess.framework/Frameworks/DACalDAV.framework/Versions/A/DACalDAV (0x7fff922f17d8) and /System/Library/PrivateFrameworks/CDDataAccess.framework/Frameworks/DACalDAV.framework/DADaemonCalDAV.bundle/Contents/MacOS/DADaemonCalDAV (0x1042c9930). One of the two will be used. Which one is undefined.||||
00:43:24|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.pid.remindd.12680| Failed to bootstrap path: path +AD0- /usr/libexec/remindd, error +AD0- 108: Invalid path||||
00:43:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12698+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:43:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12698+AF0-| Service exited with abnormal code: 78||||
00:46:43|BBAOMACBOOKAIR2|(com.getdropbox.dropbox.garcon.1C3057C1+AC0-8867+AC0-4042+AC0-A4D5+AC0-397D776A986C+AFs-12726+AF0-| Caller wanted oneshot behavior for pre+AC0-existing instance: caller +AD0- Microsoft Power||||
00:46:44|BBAOMACBOOKAIR2|Microsoft PowerPoint+AFs-9181+AF0-| assertion failed: 19E287: libxpc.dylib  92807 +AFs-32B0E31E+AC0-9DA3+AC0-328B+AC0-A962+AC0-BC9591B93537+AF0- 0x89||||
00:47:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12734+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:47:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12734+AF0-| Service exited with abnormal code: 78||||
00:48:15|BBAOMACBOOKAIR2|(com.apple.xpc.launchd.domain.pid.DesktopServicesHelper.12736| Failed to bootstrap path: path +AD0- /System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper, error +AD0- 2: No such file or directory||||
00:48:51|BBAOMACBOOKAIR2|syslogd+AFs-113+AF0-| ASL Sender Statistics||||
00:49:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12738+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:49:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12738+AF0-| Service exited with abnormal code: 78||||
00:53:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12741+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:53:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12741+AF0-| Service exited with abnormal code: 78||||
00:57:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12745+AF0-| Could not find uid associated with service: 0: Undefined error: 0 501||||
00:57:49|BBAOMACBOOKAIR2|(com.apple.mdworker.bundles+AFs-12745+AF0-| Service exited with abnormal code: 78||||
