timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.62625E+12,755,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-48,text,FALSE,,581,0,12,12,http://localhost:8083/domain/getLongtUrl,755,0,0
1.62625E+12,777,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-46,text,FALSE,,581,0,11,11,http://localhost:8083/domain/getLongtUrl,777,0,0
1.62625E+12,749,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-49,text,FALSE,,581,0,10,10,http://localhost:8083/domain/getLongtUrl,749,0,0
1.62625E+12,731,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-51,text,FALSE,,581,0,10,10,http://localhost:8083/domain/getLongtUrl,731,0,0
1.62625E+12,619,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-62,text,FALSE,,581,0,9,9,http://localhost:8083/domain/getLongtUrl,619,0,0
1.62625E+12,678,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-56,text,FALSE,,581,0,7,7,http://localhost:8083/domain/getLongtUrl,678,0,0
1.62625E+12,701,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-53,text,FALSE,,581,0,6,6,http://localhost:8083/domain/getLongtUrl,701,0,0
1.62625E+12,653,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-59,text,FALSE,,581,0,5,5,http://localhost:8083/domain/getLongtUrl,653,0,0
1.62625E+12,678,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-57,text,FALSE,,581,0,4,4,http://localhost:8083/domain/getLongtUrl,678,0,0
1.62625E+12,876,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-37,text,FALSE,,581,0,3,3,http://localhost:8083/domain/getLongtUrl,876,0,0
1.62625E+12,669,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-58,text,FALSE,,581,0,2,2,http://localhost:8083/domain/getLongtUrl,669,0,0
1.62625E+12,753,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-50,text,FALSE,,581,0,1,1,http://localhost:8083/domain/getLongtUrl,753,0,0
